newspaper,publication_date,page,arrival_date,port_of_origin,date_of_departure_from_port_of_origin,port_and_date_of_call,type_of_ship,ship_flag,name_of_ship,tonnage_of_ship,name_of_captain,cargo_information,consignee_of_cargo,consignee_of_ship,intelligence,raw_text
MAR_SM,1895_1_1,3,Du 31 décem,VENISE,12 déc.,"Trieste, 13: Aneone, 14: Bari, 16: Brindisi, 17; Tarente, 18: Catane, 19; Bi- posto 20; Reggio, 21; Messine, 21; Palerme, 24: Trapani, 24; Cagliari, 25: Livourne, 27; Génes, 29",vap,it,ASSYRIA,de 1054 tx,eap. Monticelli,avee 100 tx div.,p. div.,nav. à MM. Florio-Rubattino,22 passagers.,"VENISE, 12 déc.: Trieste, 13: Aneone, 14: Bari, 16: Brindisi, 17; Tarente, 18: Catane, 19; Bi- posto 20; Reggio, 21; Messine, 21; Palerme, 24: Trapani, 24; Cagliari, 25: Livourne, 27; Génes, 29 dito, vap it. ASSYRIA, 1054 tx, eap. Monticelli, avee 100 tx div. p. div.; nav. à MM. Florio-Rubattino; 22 passagers."
MAR_SM,1895_1_1,3,Du 1er janvier.,ALGER,30 décembre,,vap,fr,VILLE-D'ALGER,de 679 tx,e. Perdrigeon,avec 142 tx div,pour divers,Cie Transatlantique,18 passagers dont 1 militaire,"ALGER, 30 décembre, vap. fr. VILLE-D'ALGER de 679 tx, e. Perdrigeon, avec 142 tx div. pour divers: Cie Transatlantique; 18 passagers dont 1 militaire."
MAR_SM,1895_1_1,3,Du 1er janvier.,CANNES,30 déc.,"Nice, 31",vap,fr,ANAIS C.,de 145 tx,e. Rocca,avec 50 tx div.,p. divers,nav. à M. Castaldi,,"CANNES, 30 déc.; Nice, 31, vap. fr. ANAIS C., de 145 tx, e. Rocca, avec 50 tx div. p. divers; nav. à M. Castaldi."
MAR_SM,1895_1_1,3,Du 1er janvier.,CANNES,27 décembre,"Nice, 28: Menton, 29 décembre",vap,fr,LOUIS-C,de 88 tx,e. Azi- bert,avee 30 ix div.,pour divers,nav. à M. Cas- taldi,,"CANNES, 27 décembre: Nice, 28: Menton, 29 décembre, vap. fr. LOUIS-C, de 88 tx. e. Azi- bert, avee 30 ix div. pour divers; nav. à M. Cas- taldi"
MAR_SM,1895_1_1,3,Du 1er janvier.,CARDIFF,21 dée.,,vap,ang,DINGWALL,de 1365 tx.,c. Kendall,avec 2500 tx charbon,p. la Cie Transatlantique,"nav, à MM. Savon frères","détroit, 28 décembre","CARDIFF, 21 dée.. vap. ang. DINGWALL, de 1365 tx. c. Kendall, avec 2500 tx charbon. p. la Cie Transatlantique; nav, à MM. Savon frères; dé- troit, 28 décembre."
MAR_SM,1895_1_1,3,Du 1er janvier.,CASSIS,1er janv.,,chal,fr,COKE,de 133 tx,e Liban,avee 150 tx ciment et chaux,à ordre,nav. à M. Talon,,"CASSIS. 1er janv.. chal. fr. COKE, de 133 tx, e Liban, avee 150 tx ciment et chaux, à ordre; nav. à M. Talon"
MAR_SM,1895_1_1,3,Du 1er janvier.,KUMI,6 déc.,"Bandol, 1er janv.",bk-goél.,gree,AIOS GEORGIOs,de 108 tx,c. Cagniastas,avec 1130 beetol. vin,à ordre,nav. au capitaine,,"KUMI, 6 déc.; Bandol, 1er janv., bk-goél. gree AIOS GEORGIOs, de 108 tx, c. Cagniastas, avec 1130 beetol. vin, à ordre; nav. au capitaine."
MAR_SM,1895_1_1,3,Du 1er janvier.,LA CIOTAT,31 décembre,,vap,fr,GIRONDE,de 1.675 tx,e. Bousquet,sur lest,,Messageries Ma,,"LA CIOTAT. 31 décembre, vap. fr. GIRONDE. de 1.675 tx, e. Bousquet, sur lest; Messageries Ma-"
MAR_SM,1895_1_1,3,Du 1er janvier.,LA NOUVELLE,30 décembre,"Cette, 31 décem- bre",vap,fr,MEDEAH,de 230 tx,e. Ramade,avec 200 tx div,p. divers,Cie Fraissinet,"69 ritimes passagers,","LA NOUVELLE, 30 décembre; Cette, 31 décem- bre, vap. fr. MEDEAH. de 230 tx, e. Ramade. avec 200 tx div p. divers; Cie Fraissinet; 69 ritimes passagers,"
MAR_SM,1895_1_1,3,Du 1er janvier.,,,,chal,fr,TEIL,de 141 tx,e. Dallest,avec 250 tx minerai,p. M. Talon,ainsi que le navire,,"LES BORMETTES, 31 déc., chal. fr. TEIL. de 141 tx, e. Dallest, avec 250 tx minerai, p. M. Talon. ainsi que le navire."
MAR_SM,1895_1_1,3,Du 1er janvier.,LIVERPOOL,25 déc.,,vap,ang,CHESHIRE,de 3662 tx,e. O'Neil,avec 5000 tx div.,p. divers,nav. à MM. Watson et Parker,"détroit, 30 décembre.","LIVERPOOL, 25 déc., vap. ang. CHESHIRE, de 3662 tx, e. O'Neil, avec 5000 tx div. p. divers; nav. à MM. Watson et Parker; détroit, 30 décembre."
MAR_SM,1895_1_1,3,Du 1er janvier.,LIVOURNE,30 décembre,"Bastia, 31 décembre",vap,fr,CYRNOS,de 390 tx,e. Lacotte,avec 118 tx div,p div Cie Fraissinet,,84 passagers doat 3 militaires,"LIVOURNE. 30 décembre; Bastia, 31 décembre, vap. fr. CYRNOS, de 390 tx, e. Lacotte, avec 118 tx div. p div Cie Fraissinet: 84 passagers doat 3 militaires."
MAR_SM,1895_1_1,3,Du 1er janvier.,NAPLES,29 décembre,,vap,fr,GYPTIS,de 643 tx,e. Rolland,avec 110 tx div.,pour divers,Cie Fraissinet,73 passagers,"NAPLES, 29 décembre, vap. fr. GYPTIS, de 643 tx, e. Rolland, avec 110 tx div. pour divers; Cie Fraissinet; 73 passagers."
MAR_SM,1895_1_1,3,Du 1er janvier.,NEWPORT,21 déc.,,vap.,ang.,JENNY-OTTO,de 902 tx,e. Parson,avec 1700 tx charbon,à ordre,nav au capitaine,"détroit, 27 décembre.","NEWPORT, 21 déc., vap. ang. JENNY-OTTO, de 902 tx. e. Parson, avec 1700 tx charbon, à ordre; nav au capitaine: détroit, 27 décembre."
MAR_SM,1895_1_1,3,Du 1er janvier.,NOUMEA,12 novembre,"Sydney, 27; Melbour- ne, ter décembre; Adelaide, 3; Albany, 5; Ma- hé. 18: Aden, 22: Suez, 26; Port-Said, 27 dé- cembre",vap,fr,ARMAND-BEBIC,de 2.808 tx,e. Poydenot,avec 1.855 tx div.,pour divers Messageries Maritimes,,109 passagers dont 82 passagers.,"NOUMEA, 12 novembre: Sydney, 27; Melbour- ne, ter décembre; Adelaide, 3; Albany, 5; Ma- hé. 18: Aden, 22: Suez, 26; Port-Said, 27 dé- cembre, vap. fr. ARMAND-BEBIC, de 2.808 tx, e. Poydenot. avec 1.855 tx div. pour divers Messageries Maritimes; 109 passagers dont 82 passagers."
MAR_SM,1895_1_1,3,Du 1er janvier.,ORAN,29 décembre,,vap,fr,JEANNE-D'ARC,de 741 tx,e. Durand,"avec 150 tx div., 738 miou- tons, 27 boufs et 75 pores",pour divers,"nav, à MM. Caillol et Saintpierre",1 passager,"ORAN, 29 décembre, vap. fr. JEANNE-D'ARC, de 741 tx. e. Durand, avec 150 tx div., 738 miou- tons, 27 boufs et 75 pores pour divers; nav, à MM. Caillol et Saintpierre; 1 passager."
MAR_SM,1895_1_1,3,Du 1er janvier.,PHILIPPEVILLE,30 dée.,,vap,fr,ABD-EL- KADER,de 762,c. Bernardoni,avec 106 tx div.,p. divers,nav. à la Cie Transatlantique,"71 passa- gers, dont 25 militaires.","PHILIPPEVILLE, 30 dée., vap. fr. ABD-EL- KADER, de 762, c. Bernardoni, avec 106 tx div. p. divers; nav. à la Cie Transatlantique; 71 passa- gers, dont 25 militaires."
MAR_SM,1895_1_1,3,Du 1er janvier.,PHILIPPEVILIE,28 décembre,"Bone, 29; Ajae- cio, 31 décembre",vap,fr,AFRIQUR,de 631 tx,c. Cayol,avec 177 tx div.,pour divers,Compagnie Transatlantique,38 passagers dont 6 militaires.,"PHILIPPEVILIE, 28 décembre: Bone, 29; Ajae- cio, 31 décembre, vap. fr. AFRIQUR, de 631 tx, c. Cayol, avec 177 tx div. pour divers; Com- pagnie Transatlantique; 38 passagers dont 6 militaires."
MAR_SM,1895_1_1,3,Du 1er janvier.,RANGOON,6 déc.,"Colombo, 12; Perim, 20; Suez, 24: Port-Said, 25",vap,ang,LANCASHIRE,de 2744 tx,e. Sturroek,avee 5000 tx div. en transit,,nav. a MM Watson et Parker,4 passagers,"RANGOON, 6 déc.; Colombo, 12; Perim, 20; Suez, 24: Port-Said. 25, vap. ang. LANCASHIRE, de 2744 tx, e. Sturroek, avee 5000 tx div. en transit; nav. a MM Watson et Parker: 4 passagers."
MAR_SM,1895_1_1,3,Du 1er janvier.,ROTTERDAM,22 décembre,"Southampton, 25 décembre",vap,holl,GEDE,de 1.945 tx,e. 8- kemeier,avec 2.500 tx div.,p. div.,nav. à MM. Ruys et Cie,74 passagers dont 56 militaires.,"ROTTERDAM, 22 décembre: Southampton, 25 décembre, vap. holl. GEDE, de 1.945 tx, e. 8- kemeier, avec 2.500 tx div. p. div., nav. à MM. Ruys et Cie 74 passagers dont 56 militaires."
MAR_SM,1895_1_1,3,Du 1er janvier.,TANGER,25 décembre,"Gibraltar, 25; Malaga, 26 Melilla, 27; Nemours, 27; Orau, 29 décen bre",vap,fr,KLEBER,de 803 tx,e. Corno,avec 534 tx div.,pour divers,Cie Transatlantique,16 passagers dout 9 militaires.,"TANGER, 25 décembre; Gibraltar, 25; Malaga, 26 Melilla, 27; Nemours, 27: Orau. 29 décen bre, vap. fr. KLEBER, de 803 tx, e. Corno, avec 534 tx div. pour divers; Cie Transatlantique 16 passagers dout 9 militaires."
MAR_SM,1895_1_3,3,,AJACCIO,27 dée,,cutter,fr,LIBERTE,59 tx,eap Germain,avec 75 tx traverses bois,à ordre,le nav. au capitaine,,"AJACCIO, 27 dée cutter fr. LIBERTE, 59 tx, eap Germain, avec 75 tx traverses bois, à ordre; le nav. au capitaine."
MAR_SM,1895_1_3,3,,BILBAO,30 novembre,"Santander, 4 décembre; Coruna, 6 Corril, 7; Vigo, 8; Cadix, 12; Séville, 13; Huelva, 17 Algésiras, 17: Malaga 18 Almérie, 21: Carthagène, 23; Alicante, 24: Valence, 26; Barcelone, 29: Cette, 30 décembre",vap,esp,CABO-NAO,de 997 tx,e. Echevarria,avec 500 tx div,p. divers,nav. à MM. Rodri- gues Ely frères,,"BILBAO, 30 novembre; Santander, 4 décembre; Coruna, 6 Corril, 7; Vigo, 8; Cadix, 12; Séville, 13; Huelva, 17 Algésiras, 17: Malaga 18 Almérie, 21: Carthagène, 23; Alicante, 24: Valence, 26; Barcelone, 29: Cette, 30 décembre, vap. esp. CABO-NAO, de 997 tx, e. Echevarria, avec 500 tx div. p. divers; nav. à MM. Rodri- gues Ely frères."""
MAR_SM,1895_1_3,3,,CARDIFF,23 déc.,,vap,ang,THORDISA,1539,e. Sheath,avee 2800 tx charbon,p. MM. Savon frères,ainsi que le navire,a passé le détroit le 29 décembre.,"CARDIFF, 23 déc., vap. ang. THORDISA, 1539, e. Sheath, avee 2800 tx charbon, p. MM. Savon frères, ainsi que le navire; a passé le détroit le 29 décembre."
MAR_SM,1895_1_3,3,,GALATZ,2 décembre,"Sulina, 14: Cavack, 17: Syra, 19 décembre",vap.,gr.,ZAKINTHOS,de 973 tx,e Felini,avec 500 tx avoine et mals à ordre,,le navire à M. Le- maitre,"Cette, 1er janvier","GALATZ. 2 décembre: Sulina, 14: Cavack, 17: Syra, 19 décembre : Cette, 1er janvier, vap. gr. ZAKINTHOS, de 973 tx, e Felini, avec 500 tx avoine et mals à ordre; le navire à M. Le- maitre."
MAR_SM,1895_1_3,3,,GIRGENTI,18 décembre,,br.-goèl.,it.,EVA,de 105 tx,e. Domingo,avec 190 tx soufre,à ordre,"nav, au capitaine",,"GIRGENTI, 18 décembre, br.-goèl. it. EVA, de 105 tx, e. Domingo, avec 190 tx soufre à ordre; nav, au capitaine"
MAR_SM,1895_1_3,3,,LONDRES,19 déc.,"le Hvare, 25",vap,fr.,ORTEGAL,2108 tx,e. Blanc,avec 1800 tx div.,p. divers,Messagories Maritimes,a passé le détroit le 30 décembre.,"LONDRES, 19 déc.; le Hvare, 25, vap.fr. ORTEGAL. 2108 tx, e. Blanc, avec 1800 tx div. p. divers: Mes- sagories Maritimes; a passé le détroit le 30 dé- cembre."
MAR_SM,1895_1_3,3,,MALTE,25 décembre,"Tripoli, 26: Djerbah. 27: Gabès, 27: Stax, 28; Mehdia. 29; Sousse, 30: Tunis, 31 décembre",vap,fr,VILLE-D'ORAN,de 808 tx,e. Dechaille,avec 634 tx div.,p. div.,Cie Transatlantique,41 passagers dont 18 militaires.,"MALTE, 25 décembre; Tripoli, 26: Djerbah. 27: Gabès, 27: Stax, 28; Mehdia. 29; Sousse, 30: Tunis, 31 décembre, vap. fr. VILLE-D'ORAN, de 808 tx, e. Dechaille, avec 634 tx div. p. div.; Cie Transatlantique; 41 passagers dont 18 mili- taires."
MAR_SM,1895_1_3,3,,NEW-YORK,13 décembre,"Gibraltar, 28 décembre",vap,ang,POWHATAN,de 1.639 tx,capit. Haroden,avec 2.500 ton. div en transit. 119 boeufs et 39 chevaux à ordre,,nav. à M. Budd,7 passagers.,"NEW-YORK, 13 décembre ; Gibraltar, 28 décem bre, vap. ang. POWHATAN, de 1.639 tx, capit. Haroden, avec 2.500 ton. div en transit. 119 boeufs et 39 chevaux à ordre; nav. à M. Budd; 7 passagers."
MAR_SM,1895_1_3,3,,TOULON,1er janvier,,vap,fr,GEORGES-HENRI,de 79 tx,e. Nigaglioni,avec 115 fats vides,à ordre,nav. à M. Mouriès,,"TOULON, 1er janvier, vap. fr. GEORGES-HENRI de 79 tx, e. Nigaglioni, avec 115 fats vides à ordre; nav. à M. Mouriès."
MAR_SM,1895_1_4,3,,er.,,,e,,e,,e,,,,,er.
MAR_SM,1895_1_4,3,,ALGER,fer janvier,,vap,,MARECHAL-BU GEAUD,de 679 tx,e. Bargilliat,avec 260 tx march. div.,p divers,nav. à la Cie Transatlantique,"44 passagers, dont 10 militaires.","ALGER, fer janvier, vap. Ir. MARECHAL-BU GEAUD, 679 tx, e. Bargilliat, avec 260 tx march. div. p divers; nav. à la Cie Transatlantique. 44 passagers, dont 10 militaires."
MAR_SM,1895_1_4,3,,ANVERS,22 déc.,,vap,hol,ARIADNE,1030 tx,e Mink,avec 112 tx march. div.,p. divers,nav. á MM. Ruys et Cle.,Passà le Détroit le 30 dée.,"ANVERS, 22 déc., vap. hol. ARIADNE, 1030 tx, e Mink, avec 112 tx march. div. p. divers; nav. á MM. Ruys et Cle.- Passà le Détroit le 30 dée."
MAR_SM,1895_1_4,3,,BONE,29 déc.,"Philippeville, 31",vap,fr,ORIENT,573 tx,e. Pietri,"avec 200 tx div., 164 moutons et 101 boeufs",p. divers,nav. à MM. Caillol et Saintpierre,10 passagers.,"BONE, 29 déc.: Philippeville, 31, vap. fr. ORIENT, 573 tx, e. Pietri, avec 200 tx div., 164 moutons et 101 boeufs p. divers; nav. à MM. Caillol et Saintpierre 10 passagers."
MAR_SM,1895_1_4,3,,CANNES,2 janv.,"Nice, 2",vap,fr,BLIDAH,de 266 Lx,e. Barrau,avee 55 tx div.,p divers,Cie Frais- sinet,10 passagers,"CANNES, 2 janv.; Nice, 2, vap. fr. BLIDAH, 266 Lx, e. Barrau, avee 55 tx div. p divers; Cie Frais- sinet: 10 passagers."
MAR_SM,1895_1_4,3,,CARDIFF,29 déc.,,vap.,ang.,DORA,1558 tx,cap. Mitchell,avec 2800 tx charbon,p. MM. Worms Josse,ainsi que le navire,détroit 29 dée.,"CARDIFF, 29 déc., vap. ang. DORA, 1558 tx, cap. Mitchell, avec 2800 tx charbon p. MM. Worms Josse; ainsi que le navire; détroit 29 dée."
MAR_SM,1895_1_4,3,,CETTE,8 janv.,,vap,,Ir DUBANCE,283 tx,cap. Grondona,avec 276 tx div.,p. divers,Cie Frais- sinet,& passagers,"CETTE, 8 janv., vap. Ir DUBANCE. 283 tx. cap. Grondona, avec 276 tx div. p. divers; Cie Frais- sinet; & passagers."
MAR_SM,1895_1_4,3,,CETTE,3 janv.,,vap,fr,EMIR,768 tx,e. Altery,avec 20 1x div,p. divers,Cie Mixte,,"CETTE, 3 janv., vap. fr. EMIR, 768 tx, e. Altery, avec 20 1x div. p. divers; Cie Mixte."
MAR_SM,1895_1_4,3,,DUNKERQUE,20 dée,"Calais, 23",vap,Ir,ANTILLES,721 1x,e. Benoit,avec 1500 tx sucre,à onire,nav. à M. Barry,détroit 29 déc.,"DUNKERQUE 20 dée: Calais, 23, vap. Ir. AN- TILLES, 721 1x, e. Benoit, avec 1500 tx sucre à onire; nav. à M. Barry; détroit 29 déc."
MAR_SM,1895_1_4,3,,DUNKERQUE,18 dée.,"Bordeaux, 24",vap,fr.,VILLE-DE-MARSEILLE,736 tx,c. Verove,avec 900 1x div.,p. divers,Cie des Vapeurs du Nord,troit 29 dec.,"DUNKERQUE, 18 dée.; Bordeaux, 24, vap. fr. VILLE-DE-MARSEILLE. 736 tx, c. Verove, avec 900 1x div. p. divers; Cie des Vapeurs du Nord: troit 29 dec."
MAR_SM,1895_1_4,3,,FIUME,18 née,"Trieste, 19: Barl, 21; Riposto. 24; Catane, 24: Messine. 25; Palerme, 25 Naples, 28: Livourne 30; Gènes, 31: Port-Maurice, ler janv.; Nice, 2",vap,,aut. TISZA,708 tx,e. Pre- muda,avee 200 tx div,p. divers,nav. à M. Philippe Perrella,5 passagers,"FIUME, 18 née Trieste, 19: Barl, 21; Riposto. 24; Catane, 24: Messine. 25; Palerme, 25 Naples, 28: Livourne 30; Gènes, 31: Port-Maurice, ler janv.; Nice, 2, vap. aut. TISZA, 708 tx. e. Pre- muda, avee 200 tx div. p. divers; nav. à M. Philippe Perrella; 5 passagers."
MAR_SM,1895_1_4,3,,GENES,2 janv.,,vap,it,MARIO,666 tx,c. Cape- lino,sur lest,,nav. à M. Crémieux,,"GENES, 2 janv.. vap. it. MARIO, 666 tx, c. Cape- lino, sur lest; nav. à M. Crémieux."
MAR_SM,1895_1_4,3,,ILE ROUSSE,2 janv.,"Calvi, 2",vap,fr,MARIE- LOUISE,368 tx,Arnaud,avee 50 tx fer el div.,p divers,Cle Fraissinet,"13 passagers, dont 3 militaires","ILE ROUSSE, 2 janv.; Calvi, 2, vap. fr. MARIE- LOUISE, 368 tx, e Arnaud, avee 50 tx fer el div. p divers; Cle Fraissinet; 13 passagers, dont 3 militaires"
MAR_SM,1895_1_4,3,,LA NOUVELLE,2 janvier,,vap,fr,FRANÇOIS MARIE,1! 1x,e. Azibert,avec 50 tx márch div,p. divers,nav. à la Cie Castaldi,,"LA NOUVELLE, 2 janvier, vap. fr. FRANÇOIS MARIE, 1! 1x, e. Azibert, avec 50 tx márch div. p. divers; nav. à la Cie Castaldi."
MAR_SM,1895_1_4,3,,.,",","LES BORMETTES, 2 janv.",chal.,fr.,"PHARO,","175 tx,","Rafai,",avec 300 tx minerai,à ordre;,nav. à M. Talon.,,"LES BORMETTES, 2 janv., chal. fr. PHARO, 175 tx, Rafai, avec 300 tx minerai à ordre; nav. à M. Talon."
MAR_SM,1895_1_4,3,,MALAGA,25 déc,"Almérie, 26; Alicante, 28; Valence, 29",vap,esp,GRAO,1010 tx,e. Tonda,avec 100 tx march div,p. divers,"nav, à MM. Artaud frères",,"MALAGA, 25 déc; Almérie, 26; Alicante, 28; Va- lence, 29. Cette, 2 janvier; vap. esp. GRAO. 1010 tx, e. Tonda, avec 100 tx march div. p. divers nav, à MM. Artaud frères."
MAR_SM,1895_1_4,3,,PORT-DE-BOUC,3 janv.,,chal.,fr.,8.-E. N. 5.,80 tx,e. Dejean,avec 150 tx charbon,à erdre,nav. à la Cie des Agglomérés,,"PORT-DE-BOUC, 3 janv., chal. fr. 8.-E. N. 5. 80 tx, e. Dejean, avec 150 tx charbon à erdre; nav. à la Cie des Agglomérés."
MAR_SM,1895_1_4,3,,PORT-DE-BOUG,3 janv.,,chal,fr,ANGOUMOIS,133 tx,cap. Grauler,avec 260 tx charbon,à ordre,nav à la Cie des Agglomérés.,,"PORT-DE-BOUG, 3 janv., chal. fr. ANGOUMOIS, 133 tx, cap. Grauler, avec 260 tx charbon à ordre; nav à la Cie des Agglomérés."
MAR_SM,1895_1_4,3,,PROPRIANO,1er janv.,"Ajaccio, 2,",vap,fr,L'BAN,1331 tx,e. Carboni,avec i18 tx div.,p. divers,Cie Fraissinet,"36 passagers, dont 9 militaires.","PROPRIANO, 1er janv.; Ajaccio, 2, vap. fr. L'BAN, 1331 tx, e. Carboni, avec i18 tx div. p. divers; Cie Fraissinet: 36 passagers, dont 9 militaires."
MAR_SM,1895_1_4,3,,SAINT-LOUIS DU-RHONE,3 janv.,,chal,fr,N. 3.,de 360 tx,e. Eyme,avec 200 ix fer et div.,à ordre,nav. à la Cie Lyonnaise,,"SAINT-LOUIS DU-RHONE, 3 janv., chal. fr. N. 3. 360 tx, e. Eyme, avec 200 ix fer et div. à ordre ; nav. à la Cie Lyonnaise."
MAR_SM,1895_1_5,3,Da janvier,ACDB,3 janv.,,vap,ir,AUDE,87 tx,e. Sourès,avee 100 tx div,p. divers,Cie Fraissinet,,"ACDB, 3 janv., vap. Ir. AUDE, 87 tx, e. Sourès, avee 100 tx div. p. divers; Cie Fraissinet."
MAR_SM,1895_1_5,3,Da janvier,AGDE,2 janv,"Cette, 3",vap,fr,PERGAME,81 tx,e. Juliani,avec 130 tx div.,p. divers,nav. à M. Castaldi,,"AGDE. 2 janv.: Cette, 3, vap. fr. PERGAME, 81 tx, e. Juliani, avec 130 tx div. p. divers; nav. à M. Castaldi."
MAR_SM,1895_1_5,3,Da janvier,ALGER,28 déc.,"Philippeville, 30; Bone, 31: Bizerte, fer jauv.: Tunis, 2.",vap.,fr.,AJACCIO,638 tx,e Franceschi,avec 63 ts vin et divers,,Cie Transatlantique,18 passagers dont 5 militaires,"ALGER, 28 déc.: Philippeville, 30; Bone, 31: Bizerte, fer jauv.: Tunis, 2. vap. fr. AJACCIO, 638 tx, e Franceschi, avec 63 ts vin et divers; Cie Transatlantique, 18 passagers dont 5 militaires."
MAR_SM,1895_1_5,3,Da janvier,ALGER,29 dée,,vap,fr,PAUL-EMILE,442 tx,e. Sarzana,"avec 93 tx div., 1223 moutons et 23 boeufs",p. div.,nav. à MM. Caillol et Saintpierre,Il a 12 passagers.,"ALGER, 29 dée; Rosss, 3 janv., vap. fr. PAUL-EMILE, 442 tx. e. Sarzana, avec 93 tx div., 1223 moutons et 23 boeufs p. div.: nav. à MM. Caillol et Saintpierre. Il a 12 passagers."
MAR_SM,1895_1_5,3,Da janvier,BARCELONE,3 janv,,yacht,ang,ULVA,173 tx,e Brown,sur lest,,nav. à M. Gilchrist,,"BARCELONE, 3 janv., yacht ang. ULVA, 173 tx, e Brown, sur lest; nav. à M. Gilchrist."
MAR_SM,1895_1_5,3,Da janvier,BATAVIA,5 déc.,"Périm, 21; Djeddah, 24: Suez, 29: Port-Said. 30",vap,holl,LAWOE,1.957 tx,e Van-Lee,"avee 2,000 ix div.",p. divers,nav. à MM. Ruvs et Cie.,Il a 60 passagers.,"BATAVIA, 5 déc.; Périm, 21; Djeddah, 24: Suez, 29: Port-Said. 30, vap. holl. LAWOE, 1.957 tx, e Van-Lee, avee 2,000 ix div. p. divers; nav. à MM. Ruvs et Cie. Il a 60 passagers."
